ligacao_id,origem,destino,data_hora,duracao_segundos
L00125,(81) 90001-0003,(81) 90001-0012,2025-01-15 13:10:00,732
L00126,(81) 90001-0009,(81) 90001-0010,2025-01-16 06:47:00,635
L00127,(81) 90001-0004,(81) 90001-0009,2025-01-16 16:42:00,342
L00128,(81) 90001-0002,(81) 90001-0004,2025-01-16 22:52:00,427
L00129,(81) 90001-0003,(81) 90001-0012,2025-01-16 06:59:00,315
L00130,(81) 90001-0004,(81) 90001-0008,2025-01-16 10:03:00,749
L00131,(81) 90001-0011,(81) 90001-0012,2025-01-16 21:39:00,582
L00132,(81) 90001-0003,(81) 90001-0006,2025-01-16 10:08:00,538
L00133,(81) 90001-0003,(81) 90001-0012,2025-01-16 22:14:00,632
L00134,(81) 90001-0011,(81) 90001-0012,2025-01-16 11:06:00,321
L00135,(81) 90001-0001,(81) 90001-0003,2025-01-17 17:06:00,116
L00136,(81) 90001-0006,(81) 90001-0011,2025-01-17 11:39:00,401
L00137,(81) 90001-0001,(81) 90001-0002,2025-01-17 12:58:00,152
L00138,(81) 90001-0001,(81) 90001-0003,2025-01-17 08:16:00,837
L00139,(81) 90001-0002,(81) 90001-0006,2025-01-17 13:49:00,443
L00140,(81) 90001-0002,(81) 90001-0006,2025-01-17 06:29:00,624
L00141,(81) 90001-0004,(81) 90001-0008,2025-01-17 17:52:00,230
L00142,(81) 90001-0001,(81) 90001-0004,2025-01-17 11:12:00,823
L00143,(81) 90001-0003,(81) 90001-0012,2025-01-18 21:26:00,437
L00144,(81) 90001-0008,(81) 90001-0009,2025-01-18 16:14:00,407
L00145,(81) 90001-0002,(81) 90001-0004,2025-01-18 10:18:00,627
L00146,(81) 90001-0011,(81) 90001-0012,2025-01-18 11:01:00,295
L00147,(81) 90001-0002,(81) 90001-0004,2025-01-19 15:45:00,677
L00148,(81) 90001-0004,(81) 90001-0008,2025-01-19 15:22:00,894
L00149,(81) 90001-0002,(81) 90001-0006,2025-01-19 22:21:00,226
L00150,(81) 90001-0003,(81) 90001-0012,2025-01-19 06:03:00,57
L00151,(81) 90001-0008,(81) 90001-0009,2025-01-19 16:46:00,715
L00152,(81) 90001-0004,(81) 90001-0009,2025-01-19 16:46:00,724
L00153,(81) 90001-0006,(81) 90001-0011,2025-01-19 12:03:00,169
L00154,(81) 90001-0011,(81) 90001-0012,2025-01-20 21:58:00,350
L00155,(81) 90001-0003,(81) 90001-0006,2025-01-20 10:45:00,410
L00156,(81) 90001-0003,(81) 90001-0012,2025-01-20 14:17:00,231
L00157,(81) 90001-0002,(81) 90001-0006,2025-01-20 14:57:00,597
L00158,(81) 90001-0009,(81) 90001-0010,2025-01-20 18:07:00,832
L00159,(81) 90001-0008,(81) 90001-0009,2025-01-20 16:00:00,637
L00160,(81) 90001-0004,(81) 90001-0009,2025-01-20 23:14:00,519
L00161,(81) 90001-0009,(81) 90001-0010,2025-01-20 13:17:00,131
L00162,(81) 90001-0003,(81) 90001-0006,2025-01-21 20:02:00,525
L00163,(81) 90001-0002,(81) 90001-0006,2025-01-21 10:30:00,115
L00164,(81) 90001-0001,(81) 90001-0003,2025-01-21 09:37:00,422
L00165,(81) 90001-0011,(81) 90001-0012,2025-01-21 07:10:00,216
L00166,(81) 90001-0011,(81) 90001-0012,2025-01-21 19:36:00,605
L00167,(81) 90001-0001,(81) 90001-0008,2025-01-22 18:15:00,109
L00168,(81) 90001-0001,(81) 90001-0003,2025-01-22 12:20:00,351
L00169,(81) 90001-0001,(81) 90001-0002,2025-01-22 12:16:00,778
L00170,(81) 90001-0003,(81) 90001-0012,2025-01-22 21:09:00,20
L00171,(81) 90001-0003,(81) 90001-0012,2025-01-22 11:08:00,812
L00172,(81) 90001-0004,(81) 90001-0008,2025-01-22 07:43:00,627
L00173,(81) 90001-0001,(81) 90001-0004,2025-01-23 18:14:00,593
L00174,(81) 90001-0004,(81) 90001-0009,2025-01-23 14:39:00,461
L00175,(81) 90001-0001,(81) 90001-0002,2025-01-23 06:26:00,265
L00176,(81) 90001-0006,(81) 90001-0011,2025-01-23 21:22:00,590
L00177,(81) 90001-0011,(81) 90001-0012,2025-01-23 08:38:00,807
L00178,(81) 90001-0009,(81) 90001-0010,2025-01-23 11:21:00,109
L00179,(81) 90001-0009,(81) 90001-0010,2025-01-23 17:11:00,49
L00180,(81) 90001-0002,(81) 90001-0004,2025-01-23 13:10:00,855
L00181,(81) 90001-0004,(81) 90001-0009,2025-01-24 12:43:00,460
L00182,(81) 90001-0006,(81) 90001-0011,2025-01-24 14:08:00,175
L00183,(81) 90001-0003,(81) 90001-0006,2025-01-24 16:37:00,824
L00184,(81) 90001-0004,(81) 90001-0009,2025-01-24 22:53:00,16
L00185,(81) 90001-0001,(81) 90001-0002,2025-01-24 08:03:00,813
L00186,(81) 90001-0004,(81) 90001-0008,2025-01-24 19:57:00,248
L00187,(81) 90001-0003,(81) 90001-0012,2025-01-24 15:10:00,231
L00188,(81) 90001-0006,(81) 90001-0011,2025-01-24 15:10:00,297
L00189,(81) 90001-0008,(81) 90001-0009,2025-01-24 23:07:00,395
L00190,(81) 90001-0001,(81) 90001-0003,2025-01-24 21:49:00,327
L00191,(81) 90001-0004,(81) 90001-0009,2025-01-24 18:52:00,33
L00192,(81) 90001-0003,(81) 90001-0006,2025-01-24 11:45:00,146
L00193,(81) 90001-0008,(81) 90001-0009,2025-01-25 20:14:00,695
L00194,(81) 90001-0001,(81) 90001-0008,2025-01-25 12:41:00,893
L00195,(81) 90001-0008,(81) 90001-0009,2025-01-25 11:55:00,48
L00196,(81) 90001-0006,(81) 90001-0011,2025-01-25 17:29:00,483
L00197,(81) 90001-0003,(81) 90001-0006,2025-01-25 23:54:00,757
L00198,(81) 90001-0011,(81) 90001-0012,2025-01-26 22:19:00,609
L00199,(81) 90001-0008,(81) 90001-0009,2025-01-26 15:05:00,121
L00200,(81) 90001-0011,(81) 90001-0012,2025-01-26 13:51:00,78
L00201,(81) 90001-0001,(81) 90001-0003,2025-01-26 12:16:00,651
L00202,(81) 90001-0002,(81) 90001-0004,2025-01-26 19:51:00,48
L00203,(81) 90001-0001,(81) 90001-0003,2025-01-26 17:02:00,729
L00204,(81) 90001-0004,(81) 90001-0009,2025-01-26 06:30:00,798
L00205,(81) 90001-0008,(81) 90001-0009,2025-01-26 10:26:00,601
L00206,(81) 90001-0001,(81) 90001-0003,2025-01-26 12:57:00,338
L00207,(81) 90001-0004,(81) 90001-0008,2025-01-26 21:48:00,438
L00208,(81) 90001-0008,(81) 90001-0009,2025-01-26 20:40:00,784
L00209,(81) 90001-0006,(81) 90001-0011,2025-01-27 20:05:00,556
L00210,(81) 90001-0001,(81) 90001-0002,2025-01-27 16:37:00,485
L00211,(81) 90001-0003,(81) 90001-0012,2025-01-27 12:15:00,769
L00212,(81) 90001-0006,(81) 90001-0011,2025-01-27 06:01:00,703
L00213,(81) 90001-0002,(81) 90001-0004,2025-01-27 07:38:00,323
L00214,(81) 90001-0008,(81) 90001-0009,2025-01-27 07:02:00,617
L00215,(81) 90001-0004,(81) 90001-0008,2025-01-27 17:56:00,885
L00216,(81) 90001-0003,(81) 90001-0012,2025-01-27 19:34:00,43
L00217,(81) 90001-0002,(81) 90001-0006,2025-01-28 18:06:00,612
L00218,(81) 90001-0011,(81) 90001-0012,2025-01-28 08:36:00,298
L00219,(81) 90001-0009,(81) 90001-0010,2025-01-28 21:43:00,373
L00220,(81) 90001-0002,(81) 90001-0004,2025-01-28 15:53:00,849
L00221,(81) 90001-0001,(81) 90001-0002,2025-01-28 06:57:00,156
L00222,(81) 90001-0002,(81) 90001-0004,2025-01-28 19:51:00,311
L00223,(81) 90001-0003,(81) 90001-0012,2025-01-29 12:16:00,751
L00224,(81) 90001-0008,(81) 90001-0009,2025-01-29 10:00:00,274
L00225,(81) 90001-0009,(81) 90001-0010,2025-01-29 12:05:00,84
L00226,(81) 90001-0004,(81) 90001-0008,2025-01-29 19:24:00,471
L00227,(81) 90001-0004,(81) 90001-0009,2025-01-29 08:54:00,142
L00228,(81) 90001-0011,(81) 90001-0012,2025-01-29 09:47:00,220
L00229,(81) 90001-0001,(81) 90001-0003,2025-01-30 18:41:00,377
L00230,(81) 90001-0001,(81) 90001-0003,2025-01-30 23:53:00,18
L00231,(81) 90001-0003,(81) 90001-0012,2025-01-30 06:58:00,479
L00232,(81) 90001-0004,(81) 90001-0008,2025-01-30 10:04:00,585
L00233,(81) 90001-0001,(81) 90001-0002,2025-01-30 15:39:00,253
L00234,(81) 90001-0004,(81) 90001-0009,2025-01-30 15:24:00,619
L00235,(81) 90001-0001,(81) 90001-0003,2025-01-30 11:54:00,623
L00236,(81) 90001-0002,(81) 90001-0006,2025-01-30 16:03:00,336
L00237,(81) 90001-0002,(81) 90001-0004,2025-01-31 11:21:00,851
L00238,(81) 90001-0002,(81) 90001-0006,2025-01-31 07:13:00,615
L00239,(81) 90001-0003,(81) 90001-0012,2025-01-31 17:04:00,564
L00240,(81) 90001-0006,(81) 90001-0011,2025-01-31 20:34:00,579
L00241,(81) 90001-0006,(81) 90001-0011,2025-01-31 21:56:00,785
L00242,(81) 90001-0004,(81) 90001-0008,2025-01-31 09:35:00,702
L00243,(81) 90001-0001,(81) 90001-0003,2025-01-31 23:12:00,260
L00244,(81) 90001-0003,(81) 90001-0006,2025-01-31 12:33:00,858
L00245,(81) 90001-0001,(81) 90001-0008,2025-02-01 20:28:00,35
L00246,(81) 90001-0003,(81) 90001-0012,2025-02-01 13:51:00,243
L00247,(81) 90001-0004,(81) 90001-0009,2025-02-01 18:27:00,552
L00248,(81) 90001-0009,(81) 90001-0010,2025-02-01 07:12:00,693
L00249,(81) 90001-0003,(81) 90001-0006,2025-02-02 18:16:00,718
L00250,(81) 90001-0003,(81) 90001-0006,2025-02-02 07:18:00,149
L00251,(81) 90001-0001,(81) 90001-0008,2025-02-02 16:37:00,868
L00252,(81) 90001-0008,(81) 90001-0009,2025-02-02 21:37:00,615
L00253,(81) 90001-0002,(81) 90001-0006,2025-02-02 21:07:00,614
L00254,(81) 90001-0006,(81) 90001-0011,2025-02-02 10:16:00,838
L00255,(81) 90001-0001,(81) 90001-0004,2025-02-02 13:54:00,74
L00256,(81) 90001-0003,(81) 90001-0006,2025-02-02 17:40:00,833
L00257,(81) 90001-0002,(81) 90001-0006,2025-02-02 23:43:00,312
L00258,(81) 90001-0003,(81) 90001-0006,2025-02-02 06:36:00,66
L00259,(81) 90001-0009,(81) 90001-0010,2025-02-02 13:42:00,352
L00260,(81) 90001-0003,(81) 90001-0012,2025-02-03 08:25:00,790
L00261,(81) 90001-0004,(81) 90001-0009,2025-02-03 17:31:00,699
L00262,(81) 90001-0009,(81) 90001-0010,2025-02-03 23:08:00,213
L00263,(81) 90001-0011,(81) 90001-0012,2025-02-03 11:26:00,692
L00264,(81) 90001-0009,(81) 90001-0010,2025-02-03 17:39:00,41
L00265,(81) 90001-0002,(81) 90001-0006,2025-02-03 13:09:00,656
L00266,(81) 90001-0002,(81) 90001-0006,2025-02-04 10:39:00,697
L00267,(81) 90001-0004,(81) 90001-0008,2025-02-04 16:55:00,860
L00268,(81) 90001-0003,(81) 90001-0012,2025-02-04 19:51:00,90
L00269,(81) 90001-0004,(81) 90001-0008,2025-02-04 14:33:00,252
L00270,(81) 90001-0001,(81) 90001-0003,2025-02-04 17:18:00,330
L00271,(81) 90001-0001,(81) 90001-0008,2025-02-04 20:56:00,333
L00272,(81) 90001-0001,(81) 90001-0002,2025-02-04 21:15:00,95
L00273,(81) 90001-0002,(81) 90001-0006,2025-02-04 16:07:00,548
L00274,(81) 90001-0001,(81) 90001-0002,2025-02-04 16:14:00,169
L00275,(81) 90001-0001,(81) 90001-0002,2025-02-04 14:26:00,647
L00276,(81) 90001-0001,(81) 90001-0008,2025-02-04 06:03:00,144
L00277,(81) 90001-0001,(81) 90001-0008,2025-02-05 18:49:00,29
L00278,(81) 90001-0002,(81) 90001-0006,2025-02-05 11:20:00,176
L00279,(81) 90001-0008,(81) 90001-0009,2025-02-05 11:50:00,318
L00280,(81) 90001-0002,(81) 90001-0004,2025-02-05 06:44:00,117
L00281,(81) 90001-0006,(81) 90001-0011,2025-02-06 15:54:00,900
L00282,(81) 90001-0009,(81) 90001-0010,2025-02-06 15:00:00,423
L00283,(81) 90001-0003,(81) 90001-0006,2025-02-06 09:08:00,547
L00284,(81) 90001-0001,(81) 90001-0004,2025-02-06 23:59:00,158
L00285,(81) 90001-0002,(81) 90001-0006,2025-02-07 23:16:00,362
L00286,(81) 90001-0003,(81) 90001-0006,2025-02-07 18:50:00,638
L00287,(81) 90001-0003,(81) 90001-0012,2025-02-07 09:28:00,22
L00288,(81) 90001-0002,(81) 90001-0004,2025-02-07 06:52:00,424
L00289,(81) 90001-0006,(81) 90001-0011,2025-02-07 20:09:00,394
L00290,(81) 90001-0001,(81) 90001-0004,2025-02-07 19:55:00,318
L00291,(81) 90001-0002,(81) 90001-0006,2025-02-07 19:50:00,394
L00292,(81) 90001-0001,(81) 90001-0004,2025-02-07 14:46:00,495
L00293,(81) 90001-0008,(81) 90001-0009,2025-02-07 18:55:00,193
L00294,(81) 90001-0001,(81) 90001-0008,2025-02-07 09:26:00,565
L00295,(81) 90001-0011,(81) 90001-0012,2025-02-08 11:45:00,573
L00296,(81) 90001-0011,(81) 90001-0012,2025-02-08 13:03:00,229
L00297,(81) 90001-0001,(81) 90001-0003,2025-02-08 10:55:00,72
L00298,(81) 90001-0011,(81) 90001-0012,2025-02-08 16:37:00,150
L00299,(81) 90001-0004,(81) 90001-0008,2025-02-08 11:53:00,478
L00300,(81) 90001-0001,(81) 90001-0003,2025-02-09 10:36:00,499
L00301,(81) 90001-0002,(81) 90001-0006,2025-02-09 21:45:00,654
L00302,(81) 90001-0006,(81) 90001-0011,2025-02-09 08:11:00,198
L00303,(81) 90001-0009,(81) 90001-0010,2025-02-09 19:10:00,752
L00304,(81) 90001-0004,(81) 90001-0009,2025-02-09 16:51:00,837
L00305,(81) 90001-0001,(81) 90001-0002,2025-02-09 22:22:00,461
L00306,(81) 90001-0006,(81) 90001-0011,2025-02-09 16:31:00,683
L00307,(81) 90001-0003,(81) 90001-0012,2025-02-09 18:16:00,453
L00308,(81) 90001-0004,(81) 90001-0008,2025-02-09 12:37:00,423
L00309,(81) 90001-0004,(81) 90001-0009,2025-02-10 22:18:00,488
L00310,(81) 90001-0001,(81) 90001-0004,2025-02-10 13:39:00,593
L00311,(81) 90001-0003,(81) 90001-0012,2025-02-10 20:56:00,336
L00312,(81) 90001-0002,(81) 90001-0006,2025-02-10 11:30:00,739
L00313,(81) 90001-0001,(81) 90001-0004,2025-02-10 11:54:00,128
L00314,(81) 90001-0003,(81) 90001-0006,2025-02-10 06:53:00,670
L00315,(81) 90001-0004,(81) 90001-0009,2025-02-10 10:59:00,63
L00316,(81) 90001-0004,(81) 90001-0008,2025-02-11 06:09:00,851
L00317,(81) 90001-0002,(81) 90001-0006,2025-02-11 20:53:00,785
L00318,(81) 90001-0008,(81) 90001-0009,2025-02-11 12:49:00,320
L00319,(81) 90001-0006,(81) 90001-0011,2025-02-11 20:47:00,172
L00320,(81) 90001-0002,(81) 90001-0004,2025-02-11 13:53:00,110
L00321,(81) 90001-0004,(81) 90001-0008,2025-02-11 11:40:00,652
L00322,(81) 90001-0003,(81) 90001-0006,2025-02-11 22:02:00,286
L00323,(81) 90001-0001,(81) 90001-0002,2025-02-11 08:17:00,237
L00324,(81) 90001-0002,(81) 90001-0006,2025-02-11 07:17:00,691
L00325,(81) 90001-0002,(81) 90001-0006,2025-02-11 11:18:00,886
L00326,(81) 90001-0001,(81) 90001-0008,2025-02-12 10:16:00,138
L00327,(81) 90001-0008,(81) 90001-0009,2025-02-12 18:20:00,530
L00328,(81) 90001-0001,(81) 90001-0004,2025-02-12 18:23:00,654
L00329,(81) 90001-0001,(81) 90001-0004,2025-02-12 15:54:00,812
L00330,(81) 90001-0003,(81) 90001-0012,2025-02-12 22:53:00,72
L00331,(81) 90001-0006,(81) 90001-0011,2025-02-12 16:35:00,283
L00332,(81) 90001-0001,(81) 90001-0002,2025-02-13 22:09:00,573
L00333,(81) 90001-0004,(81) 90001-0008,2025-02-13 16:56:00,507
L00334,(81) 90001-0001,(81) 90001-0008,2025-02-13 08:49:00,774
L00335,(81) 90001-0009,(81) 90001-0010,2025-02-13 15:12:00,146
L00336,(81) 90001-0009,(81) 90001-0010,2025-02-13 10:44:00,598
L00337,(81) 90001-0001,(81) 90001-0002,2025-02-13 19:15:00,332
L00338,(81) 90001-0003,(81) 90001-0006,2025-02-13 07:52:00,875
L00339,(81) 90001-0001,(81) 90001-0003,2025-02-13 08:45:00,724
L00340,(81) 90001-0001,(81) 90001-0002,2025-02-13 21:19:00,795
L00341,(81) 90001-0001,(81) 90001-0002,2025-02-13 07:20:00,896
L00342,(81) 90001-0001,(81) 90001-0008,2025-02-13 11:35:00,599
L00343,(81) 90001-0002,(81) 90001-0006,2025-02-13 22:11:00,750
L00344,(81) 90001-0001,(81) 90001-0002,2025-02-14 08:25:00,353
L00345,(81) 90001-0011,(81) 90001-0012,2025-02-14 15:14:00,19
L00346,(81) 90001-0002,(81) 90001-0006,2025-02-14 21:26:00,691
L00347,(81) 90001-0001,(81) 90001-0002,2025-02-14 21:48:00,432
L00348,(81) 90001-0001,(81) 90001-0008,2025-02-14 15:15:00,790
L00349,(81) 90001-0001,(81) 90001-0003,2025-02-14 20:09:00,453
L00350,(81) 90001-0001,(81) 90001-0008,2025-02-14 14:00:00,31
L00351,(81) 90001-0002,(81) 90001-0006,2025-02-14 19:05:00,700
L00352,(81) 90001-0003,(81) 90001-0012,2025-02-14 07:04:00,823
L00353,(81) 90001-0008,(81) 90001-0009,2025-02-14 11:41:00,208
L00354,(81) 90001-0009,(81) 90001-0010,2025-02-15 08:12:00,350
L00355,(81) 90001-0009,(81) 90001-0010,2025-02-15 19:24:00,350
L00356,(81) 90001-0008,(81) 90001-0009,2025-02-15 23:59:00,650
L00357,(81) 90001-0001,(81) 90001-0004,2025-02-15 16:07:00,878
